iter	Passed	Remaining
0	220700	43919457
1	457390	45281672
2	683635	44892052
3	910009	44590457
4	1140809	44491584
5	1362351	44049380
6	1593842	43944523
7	1823832	43771972
8	2042801	43352797
9	2271724	43162762
10	2500784	42968032
11	2718669	42592489
12	2946532	42384737
13	3172855	42153647
14	3392336	41838813
15	3616125	41585448
16	3832867	41259693
17	4049260	40942520
18	4274556	40720779
19	4492890	40436015
20	4716917	40206109
21	4940727	39974973
22	5156949	39686089
23	5378003	39438691
24	5596508	39175557
25	5812843	38901338
26	6031068	38643515
27	6249714	38391102
28	6465177	38122254
29	6686160	37888242
30	6909217	37666379
31	7121050	37385517
32	7344868	37169487
33	7570536	36962030
34	7786757	36708997
35	8012895	36503192
36	8235909	36282518
37	8450675	36026562
